b22659b9.e12c.4725.a7db.a833de_D1_D2.Unshared.Log.Ratio	X3fbf076a.824b.4eac.b6dc.bf5e59_D2.Unshared.Log.Ratio	X2b73e01c.347a.4dae.a71d.752aeb_D2.Unshared.Log.Ratio	X340a3769.3031.41ae.bb08.a2f696_D2.Unshared.Log.Ratio	X994f9b8e.46cb.413f.8ec8.2c2fed_D2.Unshared.Log.Ratio	X3e746bea.ed68.40e6.b348.6ddf08_D2.Unshared.Log.Ratio	X0745488e.0bfb.4d1f.8228.dedf76_D1_D2.Unshared.Log.Ratio	X8ed739dd.ae0f.4881.971a.db3cf4_D1_D2.Unshared.Log.Ratio	X21efd60f.6a31.4b98.9477.16a905_D2.Unshared.Log.Ratio	X092af714.b97a.457c.b0e9.8c20e8_D2.Unshared.Log.Ratio	b9c1f22e.61f7.45ed.b3b4.5094c7_D2.Unshared.Log.Ratio	X685ec3c2.e67a.40d3.9eb3.aa01c9_D1_D2.Unshared.Log.Ratio	X31c15e30.21d4.4843.bd4a.9cd0d8_D2.Unshared.Log.Ratio	X1abbcb28.f221.4cd4.8c01.37b9bb_D1_D2.Unshared.Log.Ratio	X61f76fe6.a1c6.41b8.bdc2.2f9209_D2.Unshared.Log.Ratio	X1db5574d.aca7.403c.8100.6e705f_D2.Unshared.Log.Ratio	X6e209757.a7f4.45af.b5f3.2ebc02_D2.Unshared.Log.Ratio	X1556af7e.c2ae.4fce.9aae.87c459_D1_D2.Unshared.Log.Ratio	X7edfd606.4bee.4529.9fec.1ca7f0_D2.Unshared.Log.Ratio
ABI3BP	1.06899510097254	3.04251646885951	1.63488009779868	1.68813007526068	1.02575234750975	2.28733425386656	0.1278087807463	1.06765072293493	0.599306383144886	2.83324208604855	0.514328670470261	0.666248307976953	2.73108338370583	1.94156775321961	1.195625962201	0.3401036742921	1.53077474190575	2.81946319964537	1.22874706578118
ABL1	-0.080544283615332	0.504776796640051	0.129869721649518	0.69999112638173	0.371823304032275	-0.429826463216072	0.178543494229859	-0.101248647432315	0.0291221946954332	0.765608767718476	0.436748648527267	0.0940780819326254	1.28343003573031	0.368622056194104	0.505558535512557	0.27098029457623	0.790375476146711	0.477739280309827	0.41884014437124
ABL2	0.681368271758608	0.857322627678611	1.27975656266563	1.07356284091853	0.0859848287655407	0.816500024571512	-0.10329817761983	0.466083641703365	0.317299543418238	0.606424628672183	2.00344083569716	0.732145614095913	1.45066624059012	0.858505834941257	1.12497941684246	0.0243527664326299	0.685904946061889	0.881861904722269	0.0765449415018336
ABLIM1	0.056085907975904	0.985984218056569	0.702489576076732	0.650161872073193	0.552589793315404	1.08618654600909	0.599307853744495	0.0690342732223246	0.076587778619072	0.56792918169482	0.258057453075464	0.417501779867595	1.12351348639863	0.465912387309613	0.602723837107107	0.0971556427878989	0.264550119764565	0.877469452487373	-0.601543569022755
ABLIM2	0.295205708197873	0.604353157110654	0.646003691117439	0.67679520093467	0.169274056844946	1.79599173685932	2.92992673308657	-0.0943309467221925	0.258469644154044	1.06950953818106	0.377267799010329	0.497049294495347	2.5374624653735	-0.167578724754058	0.389455449494499	1.13549289107173	0.390136972344275	0.516213067555579	0.270652198009236
ABR	0.442971162936234	0.45117094851343	0.224839936674318	-0.00782886460026243	-0.266226364434759	1.17875369639028	0.213440690376634	0.172337866519664	-0.124386193677494	0.732583217806451	-0.0354252450395306	-0.0709171018296336	0.539319392992239	0.177184104272324	0.16065357974677	0.241527395823374	0.286973390149276	0.703666137117797	0.137156842148391
ABRACL	0.855360783032705	-1.07868225929662	0.309862408894731	-0.0811617322428583	0.377997023470239	0.25255221193559	0.538686646358633	0.0645544418071966	0.363474133766703	-0.57023346918554	0.0160519564100132	0.697036108080382	0.415523092134459	0.992887459802747	-0.0331515353053306	1.67957762187186	0.0592617324373195	-0.717598581448888	0.32636027415348
ABRAXAS1	0.198992086349957	1.4861367437356	-0.230061726067308	0.454866626437372	-0.25295976671228	0.455499366647082	-0.632625781128868	1.96413839229763	-0.333159166237353	0.107574026657093	0.104109575463893	-0.467351045396679	0.828048808275862	0.215388873741459	0.175469524565675	1.40853367580073	0.558787824064352	1.10217479142813	0.242189866662301
ABRAXAS2	-0.268270503966279	0.625402286097635	0.704009071363304	0.0341295121895724	-0.30799977392421	1.06619020089199	-0.0886656138632268	0.0901354275922745	-0.039285168034147	0.000515691429122868	0.0491144994858958	1.13901969093699	1.12674637448348	0.723440187685032	0.754900044564212	0.448778229595929	-0.174199945254216	-0.0543118335561984	-0.0146746156415527
ABT1	-0.203682146050284	-0.0720025288886362	1.07376596973361	0.510954611009844	-0.32972244196956	1.34204585125715	0.597671399408897	-0.171519100740739	-0.240492207851803	-0.0794093597949354	0.63476353771903	1.93318796668623	1.06251141043885	-0.165492042669476	0.0772821287561573	0.421525112752535	0.085179499895611	0.0605304310636403	-0.000791070972672264
