X1740224c.32d1.4c9f.98c6.653363	X6c660b6b.bfda.47b0.9499.160d49	X1664b920.5e60.4e3b.9aab.fe121c	X81116212.b7e6.454b.9579.105cf3	X33adae13.5dbd.4530.a5d5.3763e4	X428de0d4.7f84.4075.bae1.352af6	X0a80d3c4.0758.447a.958c.ea868c	X53723086.8858.4395.93d7.0baa68	X3367406e.d39c.4641.a3e7.44e1f3	X241ecd0e.89bd.4d3a.81b3.55a250	X64ee175f.f3ce.446e.bbf4.9b6fa8_D1	X4749ba99.d3b8.4ae3.b6f6.458bc7	X7ac27de9.0932.4ff5.aab8.29c527	X885fe794.a98e.4f81.a284.ac4bb8
ABCG1	-0.795108654869842	-0.662818151087017	-1.50390201327944	-1.02577525926937	-2.2773004180758	-0.687704503405676	-0.787056977651789	-1.11561501721969	-1.9224115560178	-0.620388009619393	-1.40248319350156	-0.894310675261012	-2.36495628114286	-0.788905761384262
ABHD10	0.332860016801324	0.0312896170832654	0.224156410879094	0.0706650837156326	0.96494856695616	0.295423193205307	-0.120418871129758	1.07911582169846	0.983104326502785	0.223075930983126	0.299005184142341	0.0721145245950945	0.306379036387694	0.498822024149123
ABHD11	-0.495536940342564	-0.269783311592856	-0.240167707149831	-0.807520846784185	-0.312542730010412	-0.214370163005566	-0.40312545078397	0.230218638600542	-0.458061123282154	-0.290090996014789	-0.0964561180218704	-0.808389348323628	-0.300665038958823	-0.627182218748057
ABHD12	-0.485642838191864	-0.519589989645603	-0.717659686982991	-1.23790885575363	-1.1651916699361	-1.23784099628623	-0.640945032040545	-1.0913124542196	-1.46332875069739	-0.175701317929332	-0.442181481222095	-0.470782620141601	-0.7920439294002	-0.864713879555299
ABHD14B	1.30128372971509	1.22909475335172	1.30864975000024	0.801068460597986	1.54265194421711	0.975099598325268	1.19581972059833	1.5309431766677	1.61455708280189	1.19369161680486	1.18348887869069	0.840849957644237	0.751950126766238	1.25288775314868
ABHD16A	-0.232900904018653	-0.181059398487475	-1.03053698481366	-0.810933031396382	-0.797112937427324	-0.783615534432683	-0.55507357977655	-0.341045247506908	-1.00919365691453	-0.529497122985948	-0.804877479444347	-0.699003527993657	-0.56631247687376	-0.579122489960347
ABHD3	-0.659404045352111	-0.788954187216112	-1.03909170541118	-0.624383086926169	-1.5529070930102	-0.550283282992915	-0.714193399560587	-1.06250091608804	-1.74496353459011	-1.09105214190467	-1.46518919590543	-0.918475087508989	-0.89434973041897	-0.82624822423573
ABHD4	0.647442151691112	0.644703828378049	1.6162903044936	0.116229587720883	1.13124801662787	0.184358137298648	0.414972643909951	0.510924495713013	1.95352739592581	1.07112802094342	1.3897054952952	0.747094508843926	0.6936653493733	0.744897268147729
ABHD5	2.07393070412086	1.79827265094382	2.60076234237367	0.665052349792473	2.4486563725531	0.950767128453876	1.98663824676934	2.21012580827359	2.08111226536556	2.02401013594571	2.24547414199474	1.53714774560123	1.60461423048158	2.11800420349815
ABI1	-0.172219352935017	-0.217064691389155	0.204928612557445	0.0312687369397466	0.371356871076046	0.209756852303117	0.0976406506757376	-0.0512718398523628	0.178297642355893	0.362015309959314	0.187124622240468	0.102457936889614	0.25664511202327	0.0448092777375784
ABI2	0.275515972937117	0.131951512655662	-0.192986293308704	0.395298514927932	-0.0208104368910696	0.858118622111174	0.181616883548351	-0.00278640501917968	-0.139169586088456	0.211636380114273	-0.128550935344353	0.153237845370257	0.443385007740828	0.0726213887278732
ABI3	-0.0997307622237816	0.187180422450512	0.338654505629229	0.208442091558288	0.557840887866635	0.1009231909984	-0.0990473655048836	0.757677092795897	0.532827085912654	-0.021522634842241	0.347317997833109	0.283676908518747	0.535717895922104	0.244217759669989
ABI3BP	1.78233315470719	2.45081288881529	2.52390743263476	2.18241091698054	2.80802591414504	1.69833629773027	2.47590346861614	1.61253288066831	3.51719313581054	2.59509179567119	2.18653659947207	2.664220712537	2.11515405092528	3.11142257531937
ABL1	-0.23468410458326	-0.625871696745838	-1.00010608982922	0.187408201148211	-1.46958527460106	-0.0740416480830681	-0.00117920377452091	-1.60503382176132	-1.63022121874245	-0.873992145505918	-0.262312758732869	-0.545055324544605	-0.853810366546457	-0.425021658252046
ABL2	0.3313089218607	-1.26253420847775	0.328080867644472	-0.762780821743525	-0.560429743824146	-0.283914331005377	-0.590829993251967	-1.96303333563001	-1.14568306508289	1.3443642487834	1.06302757034547	-0.0620133613761322	0.35962743742689	-1.56162227460574
ABLIM1	1.75736284775102	1.39558795885286	1.99586052836585	0.929493886982732	1.3675530242588	1.22285536695275	1.76451820298154	1.18320247801156	1.6109685415828	1.90591020148502	1.52490636767281	1.19956708456633	1.13309186783861	1.86965722252529
ABLIM2	0.574530912573414	0.920414552247109	1.60846070690441	0.778944991802125	0.733552640496125	0.672650172669848	1.01302694090064	0.292758732151339	1.25005113944988	1.23330211773458	1.02264984507435	1.19117507921077	1.38117956182662	1.04375472782876
ABLIM3	1.91444503701044	1.49781640835354	1.85094157896571	0.571711221329938	2.55077020241466	0.997094468463321	1.610426358898	1.19963125727302	1.14091635852833	2.29316163867609	2.06635841461229	1.50592342100124	1.46388596125756	1.6970368531699
ABR	-0.261155183493899	-0.436476049994068	-0.45814379910295	-0.0550896424901194	-0.86119471315542	-0.207263924955995	-0.27765123889386	-1.00115105608389	-1.29520396745533	-0.507491449210715	-0.386176783579442	-0.00942915666015071	-0.154825606321831	-0.218697913827756
ABRACL	-1.78258189988217	-1.20942753386065	-0.492703082797523	-0.687791504965749	-0.871708469008942	-1.50998569685737	-1.95008589582991	-0.0562446641984162	-0.205297693104549	-0.288291182972977	-0.0877235250561758	-0.657167362175421	-0.6180911667008	-1.17478375111817
ABRAXAS1	-0.41601071859018	-0.320811001218699	0.944407108080941	0.0478698733140588	0.129762294028721	-0.0856626654178793	-0.499196147739137	-0.550624095797829	0.292667112380757	0.687105555665639	0.897602646408147	0.708247226561108	0.435442582892479	-0.422217949795343
ABRAXAS2	0.144107373242301	0.0418057841306142	0.0970622988666033	-0.115217840169549	0.174970094655431	-0.00804653788414287	-0.0936143465407209	0.0740325120648048	-0.376264968538177	-0.200415306383861	-0.0952605818929093	-0.271418801483903	-0.0681838199557436	-0.175788934801308
ABT1	-0.39454068572987	0.0450826872197549	0.595381276323151	0.238770833553083	0.351377801636126	0.254486007514742	-0.298947908094758	1.25576188200963	0.0896354126773846	0.46457165990066	0.661039328448921	0.304422699653252	0.371869234588049	0.0209027509386255
ACAA1	0.485026918635674	0.269695344846047	0.608278289332856	-0.187088733949732	0.596865213283293	-0.566253339205693	0.323145500245209	0.724955094715108	0.887526275449737	0.581553781218891	0.569555206287314	0.0825214044057269	0.16740779020024	0.337124377721524
ACAA2	1.89333138388217	1.74097465874478	1.90838831020521	0.540773551263593	2.45354235950572	0.931107058998795	1.86688045318625	2.68999424687711	2.25261165320547	1.83176153967419	1.63775249852149	0.990357695259753	1.46371631578068	1.91822836246835
ACACA	0.85423601168402	1.24256063412023	0.276208147743732	0.22655275624855	0.800901796996832	0.193109419351288	0.353208043753634	0.822322004704295	0.135028129154244	0.279608498604165	-0.21680331454047	-0.14846824588933	0.189621628067496	0.430254096537829
ACACB	3.03178288394722	2.88904424355479	2.36703489846446	1.42973622708602	3.22748442746516	1.53864468033569	2.45948746065009	2.20551745037714	2.52029403369623	2.63365479921301	2.30553598824198	2.08720387257557	2.24074143096939	2.4792447432607
ACAD10	-0.324541958103343	-0.134890636448707	-0.864636524772095	-0.0503995338891923	-1.52543816596486	-0.490169888586805	-0.486753331664293	0.0793958616886217	-1.49712493243049	-0.0681036083765629	-0.570861250793638	-0.137492236718712	-0.920895329619561	-0.208795714834605
ACAD11	1.83155439985012	1.39755403093376	0.121625449348275	0.842956696153566	-0.975283214716477	0.284738089090323	1.72947414930567	0.135966671585417	-0.516844009982152	0.932634904196826	0.0638361272878517	1.0873710461704	1.06478662945321	1.18152421886427
ACAD8	0.663438604058462	0.887373374082429	0.755470940327723	0.487108217662921	1.37438304402335	0.718664488592722	0.460410558976939	1.55018940884847	0.809661277667514	0.835133610675622	0.67093734998831	0.349828847434459	0.990802560871318	0.879275483131225
ACAD9	0.65559755675699	0.642612563000911	-0.0186669952563867	-0.0127961027565218	0.738705187982609	0.290536888673702	0.718680247884613	0.311438405851683	0.478631087532135	0.292988423569407	0.239881840199137	0.103502295796129	0.183523381273921	0.141060980727897
ACADL	1.7486812162216	3.1490650743687	2.68780125759357	1.57470504189683	4.03596099886446	2.43459592322605	3.74713328196579	4.09766626763391	4.00129388754261	2.98141768886811	2.81577423253712	1.67207426378284	2.61054551357618	2.5655275817854
ACADM	0.961742368766978	0.925662771973422	0.697934960957632	0.108767215704817	1.53306769482353	0.400847682391589	0.713133549040038	2.35919984390807	1.01797597998523	1.20883735256795	0.832747765753105	0.341254774893328	0.785555426548337	1.33401879914205
ACADS	2.4229448913134	2.18619680814949	2.17512952313026	1.09634306591015	3.19470025277905	1.29183113599732	2.08500034200505	3.27983871339417	3.0185766950781	2.45953288492702	2.37764669159348	1.20242316834498	2.03939676468421	2.52491061976856
ACADSB	0.712572843666871	-0.0605204882641634	0.230853237823382	-0.271298242667694	0.342425757779425	-0.537536525849547	-0.471414244807357	0.559206852980505	-0.138655341291568	-0.176531148605204	-0.245690615412009	-0.262856295036899	-0.196380546309652	-0.0840881624071658
ACADVL	1.08910181905457	1.00160835760132	0.789928117083329	0.395766757061143	0.825925560278228	0.607227235892027	0.81752773134119	1.41798305012711	1.00496852157741	0.628176973110717	1.17952493352299	-0.202967996534069	0.295245570696703	0.942922455446338
ACAP1	0.181100067913487	0.57732324406444	0.690838571487189	1.36778473496795	0.982801461725942	1.06635229548524	0.330417669087941	1.00951487394598	0.887463529817616	0.813185921770976	0.823797737752263	1.11540119198002	1.14005932277435	0.993795098420987
ACAP2	0.322008739146388	0.210753213571023	0.381483163111825	0.00099199218803521	0.563947337982521	0.191045770551003	0.408991648057622	0.099649275196991	0.413201323713239	0.172496808624066	0.186302205113074	0.221651616658763	0.370443957209811	0.217007989855251
